map EGL-G2-D
fac 5 10 {0,203,45,155,126}
hosp 2 {0,67}
n_ALS 6 1 {2:0,1:203,2:45,1:155}
n_BLS 18 1 {4:0,2:203,2:45,3:155,7:126}
n_CLS 5 0 {2:0,2:203,1:155}
      c_m  head  tail      c_af      c_d  c_tau  c_h
80      1    55    56  0.914730  {0,2,0}     24    0
123     8    22    24  0.534139  {1,1,0}     39    1
32     50   208   209  0.870293  {1,1,0}     31    1
105    71   249   250  0.110695  {0,1,0}     37    0
11    147   127   128  0.398807  {0,1,1}     40    0
100   155   120   162  0.709992  {0,3,0}     30    1
64    162   102   103  0.078717  {0,1,0}     37    1
5     232   246   247  0.120054  {0,3,0}     36    1
124   274     9    10  0.253392  {0,3,0}     27    0
84    282    61    62  0.960480  {0,2,0}     39    1
102   282   113   115  0.653181  {0,1,0}     33    1
2     309    30    33  0.499177  {0,1,0}     36    0
83    322    49    56  0.390006  {0,1,0}     36    0
95    391   201   203  0.610409  {0,2,0}     22    1
69    402   192   194  0.649799  {0,1,0}     35    0
90    428    55    56  0.448240  {0,2,0}     33    0
10    434    30    33  0.129115  {0,3,0}     27    0
107   457     5    26  0.852735  {0,1,0}     30    0
6     461   121   155  0.674822  {0,0,1}     34    0
63    461    58    59  0.109547  {0,3,0}     25    0
122   465   213   215  0.326076  {1,1,0}     39    1
125   488   250   251  0.582356  {0,2,0}     28    1
127   501    97   115  0.086369  {1,1,0}     30    1
97    521   147   148  0.227986  {0,2,0}     31    1
1     534     5     6  0.871871  {0,3,0}     27    1
13    551    98   127  0.646303  {0,1,0}     23    0
35    558   233   235  0.042355  {0,2,0}     23    0
114   569   217   218  0.844869  {0,1,0}     33    0
112   581    89    97  0.190561  {0,1,0}     34    0
79    586   190   192  0.723745  {0,1,0}     36    0
25    586    42    43  0.034115  {0,0,1}     33    0
47    590   191   195  0.419901  {0,2,0}     34    0
72    594   158   159  0.767429  {0,1,0}     31    0
68    618   126   150  0.544301  {0,2,0}     24    0
81    629    22    24  0.315017  {0,1,0}     28    0
61    631   105   106  0.683081  {1,2,0}     28    1
76    638   106   118  0.651691  {0,1,0}     34    0
70    642   120   170  0.608571  {0,1,0}     22    1
92    647    50    52  0.384295  {1,2,0}     28    0
31    662   170   171  0.884800  {1,1,0}     36    1
34    671   249   252  0.416316  {0,3,0}     21    1
91    672    65    66  0.801437  {0,2,0}     37    0
19    672    11    42  0.440223  {0,2,0}     35    1
71    698    45    64  0.880779  {0,1,0}     34    1
7     705    32    33  0.505321  {0,1,0}     20    0
73    712    58    59  0.962438  {0,1,1}     32    1
42    719   202   209  0.235206  {0,3,0}     27    0
96    727   170   171  0.909326  {1,0,0}     34    1
57    728    81    89  0.432806  {0,1,0}     28    0
85    744   152   155  0.884986  {0,1,1}     40    1
126   747   158   160  0.693429  {0,1,0}     37    0
108   751   103   104  0.364490  {0,2,0}     29    1
55    765    32    34  0.634423  {0,1,1}     22    0
18    771   233   254  0.858453  {0,2,0}     20    0
110   776   226   229  0.994201  {0,1,0}     35    0
66    779   133   135  0.183158  {0,2,0}     26    1
50    787   227   233  0.512879  {0,3,0}     28    1
29    801    92    93  0.873972  {0,1,0}     25    0
45    805    17    22  0.925002  {0,2,0}     31    1
75    808   246   247  0.026000  {0,1,1}     21    1
16    808     8     9  0.571711  {0,2,0}     22    1
104   810    53    55  0.330457  {0,2,0}     39    1
21    827    91    92  0.034277  {0,2,0}     26    1
88    827   192   193  0.814527  {1,0,0}     28    1
4     828   158   159  0.458787  {1,1,0}     28    1
93    836    37    75  0.700737  {0,1,0}     36    0
39    850   128   129  0.168086  {0,2,0}     33    0
109   856   170   171  0.984912  {0,2,0}     38    0
54    880     8     9  0.556991  {0,2,0}     28    1
78    881   253   254  0.339858  {0,1,0}     21    0
41    882   174   182  0.481329  {0,2,0}     40    1
3     883   245   247  0.677150  {0,1,0}     27    0
48    898    31    32  0.175542  {0,1,1}     28    1
15    902   154   157  0.703922  {0,1,0}     20    1
8     910   195   248  0.727746  {0,1,0}     38    1
14    912   166   175  0.513449  {0,3,0}     23    0
101   912   196   197  0.363124  {0,0,1}     27    1
67    927    62    63  0.061157  {0,0,1}     40    1
33    934    31    32  0.326124  {0,1,0}     27    0
53    947    12    13  0.285389  {0,1,0}     21    1
46    952    99   100  0.702139  {0,2,0}     39    1
26    958   248   249  0.080122  {0,2,0}     28    1
56    981   225   228  0.106288  {0,2,0}     24    1
22    984    63    64  0.841872  {0,3,0}     23    0
17    998   199   200  0.329679  {1,1,0}     26    1
116  1000    48    57  0.348847  {0,3,0}     32    0
43   1004    72    73  0.406895  {0,1,1}     36    0
86   1011    25    26  0.023443  {0,1,0}     36    1
12   1037   225   228  0.171252  {0,0,1}     30    0
44   1041     0    21  0.745041  {0,0,1}     38    0
120  1043     1    12  0.402601  {0,2,0}     40    0
106  1043   163   167  0.899602  {1,1,0}     40    1
51   1045    39    52  0.112193  {1,1,0}     33    1
24   1078    43    46  0.230699  {0,1,0}     27    0
30   1084   119   120  0.670218  {0,3,0}     39    0
119  1086    31    32  0.304348  {0,1,0}     20    1
40   1089    46    47  0.048090  {0,2,0}     28    0
121  1090   161   165  0.479310  {0,0,1}     32    0
23   1090   179   183  0.722385  {0,2,0}     24    1
103  1095    12    13  0.798781  {0,1,0}     30    1
28   1108     9    10  0.989399  {1,1,0}     20    1
60   1111    66    93  0.263276  {0,2,0}     32    0
62   1116   151   153  0.263223  {0,1,0}     25    1
74   1119     5    23  0.610756  {1,1,0}     27    1
49   1128     8     9  0.115029  {1,1,0}     34    1
0    1128   235   236  0.951956  {0,2,0}     21    1
77   1132   102   111  0.965510  {1,1,0}     20    1
9    1132   176   177  0.655704  {0,2,0}     26    1
94   1151    18    20  0.917392  {1,0,0}     26    1
117  1156   192   194  0.219688  {0,3,0}     35    1
27   1163   233   254  0.205520  {0,2,0}     37    1
65   1170   179   180  0.887762  {0,2,0}     28    1
36   1174   170   174  0.329618  {0,2,0}     20    1
98   1174   172   173  0.255396  {0,1,0}     29    0
89   1187   239   240  0.606005  {0,1,0}     37    0
37   1201   227   233  0.391094  {0,2,0}     30    0
58   1201   106   108  0.705442  {0,0,1}     22    1
113  1249   143   144  0.529079  {0,3,0}     24    1
99   1270   161   164  0.676587  {0,1,0}     20    0
111  1279     5    26  0.292929  {0,3,0}     21    1
87   1284   154   158  0.965888  {0,1,1}     33    1
20   1299    73    74  0.747287  {0,2,0}     34    0
52   1318    36    37  0.960222  {0,2,0}     29    0
59   1321   226   251  0.180104  {0,1,0}     20    1
38   1389   227   231  0.893118  {1,0,0}     36    1
118  1400   217   218  0.587982  {1,1,0}     21    1
115  1400    50    52  0.783688  {0,1,0}     33    0
82   1437    71    73  0.707763  {1,1,0}     25    1
