map EGL-G2-E
fac 5 10 {0,27,166,178,175}
hosp 2 {0,131}
n_ALS 5 1 {2:0,3:27}
n_BLS 16 1 {3:0,3:27,3:166,6:178,1:175}
n_CLS 7 0 {1:166,2:178,4:175}
      c_m  head  tail      c_af      c_d  c_tau  c_h
26    116     6     7  0.188358  {0,3,0}     21    1
79    129   122   124  0.969543  {0,1,0}     31    1
14    169   109   110  0.131751  {1,1,0}     40    1
82    327   140   142  0.288183  {1,0,0}     31    0
60    340   228   230  0.106824  {1,0,0}     29    1
48    387    28    29  0.835432  {1,1,0}     23    1
92    406   179   183  0.213430  {0,2,0}     26    1
2     408   204   206  0.155621  {0,1,0}     33    0
108   436    56    57  0.010681  {0,0,1}     38    0
118   465   106   118  0.346066  {1,0,0}     22    1
51    494    66    67  0.631734  {0,2,0}     24    1
54    494    78    82  0.550529  {0,1,0}     21    0
98    507   234   235  0.763600  {1,0,0}     31    1
96    525   184   185  0.396783  {0,1,0}     28    0
31    538   251   252  0.348374  {0,2,0}     37    1
77    541   109   110  0.486114  {0,2,0}     33    1
7     546   131   132  0.510255  {0,0,1}     23    1
120   551    42    43  0.209053  {1,0,0}     30    1
100   562   227   229  0.495045  {1,1,0}     26    1
42    584   125   150  0.481126  {0,2,0}     38    1
67    593    39    40  0.996274  {0,2,0}     21    0
52    603     7    30  0.375863  {0,2,0}     36    0
44    612    82    85  0.758063  {1,1,0}     20    1
43    615   176   177  0.776078  {1,0,0}     23    1
122   622    97   115  0.076131  {0,3,0}     30    1
89    629    69    70  0.466328  {1,0,0}     28    1
66    633   246   247  0.992509  {0,1,0}     26    1
68    639   161   165  0.025087  {1,1,0}     23    1
56    654   107   108  0.452712  {0,3,0}     24    1
106   656   140   141  0.474409  {1,1,0}     30    1
113   657    17    22  0.416502  {1,1,0}     37    1
91    661   154   158  0.051110  {0,1,0}     33    0
34    662     3    15  0.698642  {0,1,0}     21    1
69    669   193   246  0.971043  {0,2,0}     35    0
114   682     8     9  0.020802  {0,2,0}     38    0
3     683    50    52  0.923482  {0,1,0}     38    1
11    683   136   146  0.771895  {1,1,0}     22    1
116   699    37    75  0.497652  {0,1,0}     38    1
8     707     7    30  0.572546  {0,2,0}     29    0
58    708    76    77  0.311323  {0,1,0}     27    1
74    733    97   112  0.775135  {0,3,0}     37    0
95    735   130   131  0.976249  {0,1,0}     39    1
87    740    67    68  0.564145  {0,3,0}     27    1
94    740   177   180  0.084230  {0,1,0}     38    0
124   778   185   186  0.173030  {0,3,0}     30    1
1     794   139   140  0.759450  {1,0,0}     22    1
19    798   109   110  0.762673  {0,3,0}     28    0
85    812   113   115  0.046789  {0,1,0}     38    0
107   816   137   138  0.844923  {1,1,0}     28    1
83    823   211   212  0.811154  {0,2,0}     33    1
59    827    89    90  0.721206  {0,0,1}     39    0
36    831    84    86  0.074992  {1,0,0}     20    1
84    834   203   204  0.703058  {0,1,1}     29    1
0     834    79    80  0.712169  {0,0,1}     40    0
127   834    41    51  0.699607  {1,0,0}     24    1
15    834   158   160  0.152541  {0,3,0}     29    1
46    838   252   253  0.379577  {0,1,1}     28    1
105   845   192   194  0.315982  {1,0,0}     27    1
64    852   120   162  0.125531  {0,2,0}     35    1
37    859   105   106  0.890109  {0,3,0}     39    0
29    862    61    62  0.029360  {1,3,0}     35    1
24    869   235   236  0.536699  {1,0,0}     30    1
13    870     7     8  0.801209  {0,1,0}     31    1
55    872   142   143  0.172082  {1,0,0}     30    1
49    874   122   124  0.053154  {0,2,0}     31    0
12    874   195   196  0.355796  {0,0,1}     34    1
110   874   240   241  0.674074  {0,1,0}     36    1
40    892    17    22  0.411771  {0,1,0}     20    1
21    894   152   155  0.091511  {1,0,0}     35    1
22    895    17    22  0.325841  {0,3,0}     32    0
65    897   202   203  0.834718  {0,1,0}     21    0
102   905   202   203  0.951035  {0,2,0}     32    1
25    909   176   177  0.601465  {0,1,0}     23    1
76    910   176   177  0.882579  {1,2,0}     33    1
16    914   201   203  0.110287  {1,0,0}     34    1
90    921    19    20  0.577826  {1,0,0}     23    1
71    934    37    75  0.805224  {0,3,0}     22    1
30    935   158   160  0.356554  {0,1,1}     23    1
111   939   112   113  0.427961  {1,1,0}     40    1
61    947    54    55  0.745000  {0,3,0}     23    0
75    956     7     8  0.754884  {0,1,0}     32    1
47    957    59    60  0.373540  {0,1,1}     23    0
6     960   138   139  0.974773  {0,2,0}     37    0
70    979    47    64  0.323953  {0,0,1}     31    0
80    993   170   174  0.361379  {1,1,0}     25    1
88    993    10    41  0.724632  {0,1,0}     35    0
17   1011   143   145  0.786964  {1,1,0}     38    1
28   1011    24    26  0.007608  {0,1,0}     31    0
109  1015    35    36  0.931537  {1,0,0}     30    1
23   1024   250   251  0.601389  {0,2,0}     22    1
20   1027   243   245  0.053146  {0,2,0}     35    1
39   1036   196   198  0.614469  {1,0,0}     30    1
86   1040   191   195  0.774047  {0,0,1}     32    1
73   1055   205   208  0.397065  {1,1,0}     30    1
81   1062    67    68  0.680092  {0,1,0}     37    1
72   1070    99   131  0.509262  {0,1,0}     37    1
5    1089    95    96  0.235785  {1,0,0}     23    1
41   1097    76    78  0.862812  {1,1,0}     27    1
103  1100    53    55  0.408252  {0,1,0}     22    0
119  1108    40    41  0.370952  {1,1,0}     20    1
112  1122   233   234  0.192682  {1,0,0}     29    1
38   1127   122   123  0.633989  {0,0,1}     40    1
4    1139   186   198  0.950499  {0,1,0}     28    1
18   1152   212   213  0.782484  {0,2,0}     30    0
57   1154   188   189  0.768304  {0,2,0}     32    1
33   1159   227   233  0.482303  {1,1,0}     25    1
117  1170     3    23  0.718374  {0,3,0}     27    1
35   1173    68    69  0.917982  {0,0,1}     25    1
53   1179   203   204  0.726344  {0,1,1}     35    1
115  1181   192   193  0.961700  {0,1,1}     31    0
104  1186   186   198  0.377059  {0,1,1}     25    0
63   1186   127   128  0.964381  {0,1,0}     37    1
99   1191    59    60  0.587988  {0,3,0}     32    1
93   1202   240   242  0.185265  {1,1,0}     38    1
97   1226    97   115  0.770449  {1,1,0}     22    1
9    1227   184   188  0.987394  {0,2,0}     25    1
121  1247    89    97  0.112752  {0,2,0}     39    1
10   1271     7    30  0.356935  {1,1,0}     24    1
27   1277   196   198  0.257684  {0,2,0}     26    1
123  1282   152   155  0.453657  {0,1,1}     26    0
78   1283    29    31  0.180435  {1,0,0}     31    1
101  1300   195   248  0.321763  {0,2,0}     35    1
32   1301    71    72  0.921963  {0,1,0}     33    1
62   1301    35    36  0.041388  {1,1,0}     25    1
50   1305    43    44  0.453978  {0,2,0}     21    1
126  1309   221   222  0.698029  {0,3,0}     37    1
125  1327   140   141  0.241709  {0,1,0}     38    0
45   1381   104   105  0.775740  {0,3,0}     30    1
