map EGL-G2-E
fac 5 10 {0,19,123,10,40}
hosp 1 {0}
n_ALS 8 1 {2:0,2:123,2:10,2:40}
n_BLS 18 1 {1:0,7:19,6:123,4:40}
n_CLS 6 0 {2:123,3:10,1:40}
      c_m  head  tail      c_af      c_d  c_tau  c_h
77     13    76    77  0.965076  {0,1,0}     29    0
97     45    95    96  0.067046  {0,1,1}     40    0
83     46    48    57  0.388101  {1,0,0}     34    1
116    85   204   205  0.914669  {1,1,0}     39    1
100    95   135   147  0.797755  {0,2,0}     22    1
119   105   213   215  0.564462  {0,2,0}     31    1
110   132    58    59  0.408462  {0,1,0}     38    1
87    132   244   253  0.549731  {0,1,0}     28    1
1     147   121   155  0.539262  {0,1,1}     22    1
127   216   227   231  0.364047  {1,1,0}     39    1
70    237    84    86  0.446283  {0,1,0}     28    0
126   275   240   242  0.706271  {0,1,1}     28    1
44    305   226   227  0.334902  {1,0,0}     35    1
92    341    49    50  0.728756  {0,1,0}     25    1
0     354   113   114  0.741777  {0,2,0}     20    0
102   371   185   187  0.427599  {0,2,0}     25    0
45    387    39    73  0.899257  {1,0,0}     34    0
79    391   162   163  0.447315  {0,2,0}     39    1
115   399   105   107  0.149479  {1,0,0}     27    1
6     426   139   140  0.065586  {0,3,0}     29    0
24    442   231   232  0.014414  {1,0,0}     34    1
30    457   213   214  0.476666  {0,1,0}     32    1
86    503   101   112  0.946212  {0,1,0}     30    1
94    516    34    41  0.487944  {1,1,0}     31    1
39    519   177   180  0.020784  {1,0,0}     20    1
75    533    55    56  0.684055  {0,0,1}     24    1
17    539   218   250  0.669115  {0,3,0}     37    1
96    549    82    83  0.844513  {0,1,0}     39    0
35    552   143   145  0.660776  {0,1,0}     39    0
12    552   206   207  0.369311  {0,0,1}     24    0
13    560   111   114  0.317169  {1,0,0}     33    1
47    561    66    67  0.613245  {0,0,1}     32    1
91    561   121   122  0.581919  {0,3,0}     30    0
66    566   216   217  0.233309  {0,1,1}     40    1
98    569   219   223  0.056074  {0,2,0}     33    0
55    569   234   235  0.391260  {0,2,0}     37    1
69    570   103   111  0.469863  {0,1,0}     29    1
38    571   113   114  0.837886  {0,0,1}     36    1
121   573   181   182  0.811619  {0,1,0}     23    1
36    577    82    85  0.514002  {1,1,0}     23    1
18    589    53    54  0.518695  {0,1,0}     35    0
85    594   145   146  0.759688  {1,1,0}     29    1
123   607     5    23  0.212670  {1,0,0}     25    1
33    609   213   215  0.961427  {0,3,0}     40    1
58    614    32    34  0.413294  {1,1,0}     39    1
50    618   121   155  0.633135  {1,0,0}     29    1
95    629   148   149  0.992107  {0,2,0}     31    1
80    639   209   216  0.568927  {0,3,0}     25    1
28    653   143   144  0.569121  {0,2,0}     23    1
14    653   219   223  0.935432  {0,3,0}     39    0
54    667    25    26  0.875765  {1,1,0}     27    1
107   673   237   238  0.087472  {0,3,0}     22    0
59    681    59    72  0.519694  {0,3,0}     36    1
8     696   239   240  0.060191  {0,3,0}     28    0
10    699    43    45  0.347471  {0,2,0}     21    1
49    700   204   206  0.006352  {1,0,0}     36    1
42    715    11    42  0.854727  {0,1,0}     20    0
71    719    71    73  0.508356  {0,0,1}     38    1
93    723   141   150  0.865660  {0,2,0}     37    1
16    741    41    51  0.966297  {0,2,0}     29    1
62    746   175   176  0.563129  {0,1,0}     29    1
19    748    95    96  0.721278  {0,2,0}     34    1
120   752    90    91  0.423519  {1,0,0}     23    1
74    763   102   111  0.452022  {1,0,0}     30    1
65    771   103   111  0.516295  {0,2,0}     37    1
57    772    23   150  0.005240  {0,1,0}     22    0
46    806    19    25  0.164910  {1,0,0}     37    1
122   831    29    31  0.547515  {0,2,0}     37    1
109   857    30    33  0.278080  {0,2,0}     31    1
124   868    29    31  0.487131  {1,1,0}     38    1
3     878   236   237  0.993524  {0,2,0}     30    0
73    882    47    48  0.130077  {0,2,0}     29    0
26    886   159   160  0.022328  {1,1,0}     24    1
72    889    67    69  0.532983  {0,1,0}     40    1
106   898    65    66  0.643355  {0,1,0}     26    1
89    903    99   100  0.540119  {0,1,0}     25    1
52    923   179   184  0.641847  {1,0,0}     28    1
105   932    94    95  0.799563  {0,2,0}     31    0
34    935   150   151  0.928427  {1,0,0}     28    1
117   945    70    71  0.341636  {0,2,0}     22    1
78    956    83    84  0.149293  {1,0,0}     32    1
31    956   181   182  0.815003  {0,2,0}     33    1
125   964   108   109  0.499455  {0,2,0}     31    1
118   971   219   223  0.912577  {0,2,0}     40    1
60    971    97   112  0.046985  {1,0,0}     36    1
15    974    31    32  0.758093  {0,1,0}     33    1
5     989    49    50  0.286693  {0,2,0}     33    0
23    991   213   215  0.598688  {0,1,1}     37    1
108   991   116   117  0.934745  {0,0,1}     33    1
22   1002   108   109  0.020845  {1,0,0}     25    1
41   1038   162   163  0.842388  {0,3,0}     31    0
9    1047   192   193  0.765948  {1,2,0}     23    1
56   1048   179   180  0.982659  {0,2,0}     23    0
61   1075   180   181  0.787823  {0,3,0}     35    1
99   1076    78    79  0.186844  {0,1,0}     27    1
104  1078   102   103  0.114513  {0,2,0}     38    1
101  1082   116   117  0.839719  {1,0,0}     23    1
