map EGL-G2-E
fac 5 10 {0,193,213,219,242}
hosp 2 {0,120}
n_ALS 8 1 {3:0,1:193,1:213,1:219,2:242}
n_BLS 17 1 {3:0,8:193,4:213,2:242}
n_CLS 5 0 {1:193,3:213,1:219}
      c_m  head  tail      c_af      c_d  c_tau  c_h
93     38     2     3  0.723460  {1,1,0}     30    1
18     45   150   151  0.702782  {0,0,1}     26    1
71     49    99   131  0.927053  {0,2,0}     24    1
75     90     3    15  0.877289  {0,2,0}     31    1
1      94    97    98  0.767520  {0,2,0}     40    0
95    115   156   162  0.771831  {0,3,0}     20    1
46    205    10    11  0.717846  {0,3,0}     38    1
115   232    18    19  0.017542  {1,0,0}     24    1
96    233   221   222  0.530340  {0,1,0}     20    1
105   256   151   153  0.153318  {1,3,0}     29    1
113   273   167   168  0.163728  {0,1,0}     23    1
64    348     1     2  0.886204  {0,2,0}     29    0
86    366   159   160  0.558033  {1,1,0}     22    1
99    408    84    86  0.149776  {0,2,0}     40    0
80    428    54    55  0.815160  {0,1,0}     24    1
123   428   163   167  0.318722  {0,3,0}     34    1
8     455    59    72  0.332586  {1,1,0}     38    1
63    474   174   182  0.482165  {0,1,1}     34    0
25    500   135   147  0.287184  {0,1,0}     20    1
41    502   203   204  0.990089  {0,1,0}     39    0
19    522   151   152  0.371477  {0,3,0}     26    1
74    526    59    60  0.866543  {1,0,0}     38    1
70    529   111   114  0.396959  {1,1,0}     24    1
37    538    99   100  0.526195  {0,1,0}     38    0
52    544   217   219  0.382898  {0,2,0}     33    1
77    549   204   206  0.434465  {0,2,0}     21    0
0     555   205   207  0.551529  {0,1,0}     26    0
111   556   251   254  0.573225  {0,2,0}     29    1
87    581    50    53  0.017196  {0,2,0}     39    1
78    595   130   131  0.246079  {1,0,0}     26    1
40    596    19    25  0.266891  {0,1,0}     34    1
122   597    61    62  0.076166  {1,2,0}     27    1
98    599    78    79  0.998429  {0,1,0}     39    1
38    616    61    65  0.948909  {1,1,0}     31    1
83    618    47    64  0.233925  {0,1,0}     27    1
36    636   145   146  0.557133  {0,2,0}     32    1
42    648   218   250  0.327720  {1,0,0}     34    1
9     664   236   237  0.002083  {0,0,1}     40    1
68    665   151   153  0.247433  {0,2,0}     38    0
20    669   174   183  0.715694  {0,1,0}     33    1
17    670   252   253  0.700665  {0,1,1}     36    1
49    672   125   152  0.468097  {1,0,0}     25    1
91    674    10    41  0.539762  {0,1,0}     23    1
56    689    87    88  0.254549  {1,0,0}     27    1
104   702   204   206  0.724685  {1,1,0}     38    1
109   712    39    52  0.078276  {0,3,0}     35    0
125   714   218   225  0.742906  {1,0,0}     34    1
15    727   112   113  0.211911  {0,0,1}     40    1
28    737   126   127  0.231638  {0,2,0}     33    1
116   743   175   177  0.198698  {0,2,0}     22    1
79    757    19    25  0.651671  {0,2,0}     34    1
4     757    53    54  0.430056  {1,0,0}     23    1
117   768   216   218  0.586147  {0,1,0}     20    0
