map EGL-G2-E
fac 5 10 {0,165,47,174,240}
hosp 1 {0}
n_ALS 7 1 {2:0,1:165,2:47,1:174,1:240}
n_BLS 19 1 {7:0,1:165,6:47,3:174,2:240}
n_CLS 5 0 {1:165,2:47,2:240}
      c_m  head  tail      c_af      c_d  c_tau  c_h
52     14   227   229  0.111943  {0,1,0}     29    0
55     26   164   169  0.140146  {0,3,0}     28    1
30     35    49    50  0.499867  {0,2,0}     32    1
110    98   133   135  0.338457  {0,1,0}     28    1
40    100   154   158  0.680905  {0,2,0}     25    1
67    101   146   147  0.759552  {1,0,0}     30    1
90    116    56    57  0.309895  {0,1,0}     24    1
58    124    41    51  0.277236  {1,0,0}     39    1
41    126   178   185  0.560065  {0,2,0}     23    0
63    154    32    34  0.047562  {1,0,0}     24    1
23    155   195   248  0.475555  {0,1,0}     39    1
14    206     7    30  0.006816  {0,2,0}     40    0
21    209    23   237  0.184476  {1,1,0}     31    1
25    254     1    12  0.487227  {0,2,0}     34    0
88    314    24    26  0.369344  {0,1,0}     20    0
80    331    14    15  0.700306  {1,0,0}     26    1
93    340   113   115  0.063404  {1,0,0}     33    1
39    381   237   238  0.985387  {0,2,0}     26    0
46    417   192   194  0.266087  {0,0,1}     21    1
32    427    36    37  0.080351  {0,1,1}     35    1
33    480   122   123  0.129274  {1,3,0}     25    1
53    500   135   136  0.968979  {0,1,0}     33    1
77    508   237   238  0.048585  {0,1,0}     23    0
4     517   166   178  0.892753  {1,1,0}     26    0
117   520   189   190  0.420077  {0,2,0}     34    1
82    526    95    96  0.593927  {0,1,0}     36    0
107   550   196   197  0.722403  {0,2,0}     40    1
68    560    55    56  0.796640  {0,3,0}     24    1
1     576    37    75  0.449835  {0,3,0}     27    0
102   581   194   242  0.421379  {0,0,1}     25    1
61    601   219   223  0.696430  {0,1,0}     28    0
109   602   174   189  0.042059  {1,0,0}     27    1
73    602   208   210  0.803559  {0,1,1}     36    0
10    607    49    56  0.235590  {0,3,0}     29    1
56    616   193   194  0.926185  {0,1,0}     30    0
