map EGL-G2-E
fac 5 10 {0,74,59,143,39}
hosp 2 {0,247}
n_ALS 6 1 {2:0,1:74,1:59,1:143,1:39}
n_BLS 21 1 {1:0,8:74,2:59,6:143,4:39}
n_CLS 10 0 {5:0,1:74,1:59,1:143,2:39}
      c_m  head  tail      c_af      c_d  c_tau  c_h
115    24    73    74  0.285234  {1,3,0}     23    1
34     47   192   193  0.906207  {1,0,0}     27    1
6      61   141   142  0.079090  {0,1,0}     32    1
90     75   127   128  0.323695  {0,3,0}     30    1
105   135    40    41  0.783047  {1,0,0}     35    1
54    140   150   151  0.621572  {0,1,0}     31    1
26    215    23    87  0.641206  {1,1,0}     23    1
51    215   223   224  0.519945  {0,2,0}     39    1
106   232   146   147  0.427974  {0,2,0}     25    0
10    244    22    24  0.239829  {0,2,0}     40    1
13    254   185   187  0.201224  {0,3,0}     31    1
56    385   143   145  0.687549  {0,1,0}     24    0
114   391   198   199  0.506961  {0,1,0}     37    1
126   415   123   124  0.490173  {0,0,1}     38    1
48    447   154   157  0.923078  {0,0,1}     34    0
60    466   135   147  0.208997  {0,1,0}     27    1
39    467   247   248  0.810091  {1,0,0}     21    1
52    477   119   120  0.106605  {0,3,0}     26    1
80    488   231   232  0.049243  {1,1,0}     30    1
65    498   179   184  0.328532  {0,1,0}     25    1
83    510   115   116  0.669037  {1,0,0}     37    1
89    544    43    44  0.760022  {0,3,0}     25    0
53    550   126   150  0.145457  {0,1,0}     26    0
38    558   123   124  0.271002  {0,1,0}     21    0
117   560   202   209  0.527409  {0,2,0}     30    1
76    561   249   252  0.101609  {0,1,0}     30    0
72    566    67    69  0.720672  {0,1,0}     39    1
112   574     9    34  0.601865  {0,1,0}     24    1
124   581   117   119  0.508439  {1,1,0}     23    1
104   586    66    67  0.349577  {1,1,0}     31    1
59    589   121   122  0.670620  {0,2,0}     37    1
100   593   135   136  0.997315  {0,1,0}     30    1
12    598    24    25  0.761364  {0,1,0}     38    1
121   603   245   247  0.838486  {0,2,0}     27    1
111   621   249   250  0.270662  {0,3,0}     40    0
8     624   243   245  0.839755  {0,1,1}     24    1
14    627   225   228  0.464856  {0,0,1}     28    0
92    641    87    88  0.266420  {0,1,0}     29    1
88    647   104   105  0.859137  {1,1,0}     31    1
94    647    32    33  0.269821  {0,1,0}     33    1
35    651   117   118  0.666626  {0,2,0}     37    0
82    654   231   232  0.556549  {0,3,0}     24    0
4     662    23    87  0.310308  {0,1,0}     23    1
127   683    82    83  0.684454  {0,3,0}     37    1
63    684   151   153  0.724290  {0,2,0}     39    1
78    691   151   152  0.216176  {0,3,0}     34    1
69    696   103   111  0.452570  {1,2,0}     31    1
67    707    26    28  0.991701  {1,1,0}     40    0
19    724   167   168  0.130666  {0,1,0}     24    0
61    732   154   157  0.830451  {0,1,0}     33    0
118   743   106   108  0.115116  {1,1,0}     35    1
86    746    10    11  0.931664  {0,3,0}     20    0
31    747    51    52  0.543072  {0,1,0}     20    0
7     749    27    30  0.349294  {1,0,0}     21    1
87    757    27    28  0.293512  {0,2,0}     34    1
66    772    90    92  0.049815  {0,2,0}     37    0
21    777     5     6  0.821111  {1,0,0}     29    1
68    785   139   140  0.423634  {1,0,0}     38    1
32    786   246   247  0.661403  {0,1,1}     39    1
46    792   137   138  0.310597  {0,1,0}     22    1
101   792    36    38  0.686144  {0,1,1}     23    0
47    797   200   201  0.633542  {0,1,0}     30    0
77    817    86    87  0.211620  {0,0,1}     25    0
1     821   162   163  0.077916  {0,0,1}     37    0
71    828   205   208  0.972779  {0,2,0}     39    1
40    829   174   183  0.589661  {0,2,0}     20    1
25    836   242   243  0.841098  {0,3,0}     33    0
96    845   245   247  0.143215  {0,1,0}     38    1
123   846   198   199  0.707363  {0,1,0}     31    1
30    859   106   108  0.296393  {0,1,0}     21    0
24    865   251   254  0.395139  {1,0,0}     31    1
70    867   119   120  0.820413  {0,1,1}     33    1
36    877    39    40  0.561707  {0,3,0}     29    0
57    884   113   114  0.643791  {0,1,0}     25    1
3     886    24    25  0.044659  {0,2,0}     35    0
81    897   192   193  0.612027  {0,2,0}     33    0
45    897     5    23  0.224994  {1,1,0}     27    1
9     898   127   128  0.861710  {1,1,0}     24    1
16    911     7     8  0.972513  {1,0,0}     26    1
116   926   126   127  0.851082  {0,3,0}     37    1
102   931   119   120  0.537752  {1,1,0}     22    1
37    957    18    19  0.147195  {1,0,0}     33    1
64    958    31    38  0.349239  {0,1,0}     22    0
43    963    61    65  0.438478  {0,3,0}     27    0
91    972    54    55  0.333916  {0,2,0}     27    1
95    987   231   232  0.061011  {1,0,0}     38    1
0    1001   170   171  0.813235  {1,0,0}     37    1
98   1008    28    29  0.314066  {1,0,0}     30    1
113  1010   212   213  0.558672  {1,1,0}     27    1
22   1013    81    82  0.975426  {1,1,0}     29    1
28   1016   143   144  0.947196  {1,0,0}     37    1
84   1042   211   212  0.868038  {1,1,0}     38    1
42   1046   152   153  0.901946  {1,0,0}     38    1
109  1048    94    95  0.888406  {0,2,0}     34    0
17   1061   151   153  0.048756  {1,0,0}     20    1
120  1064    97   112  0.513668  {0,3,0}     30    1
58   1068    48    57  0.712503  {0,2,0}     31    1
41   1070   133   134  0.877287  {1,0,0}     38    1
103  1085    93    94  0.900703  {0,2,0}     37    1
15   1087   113   115  0.569774  {1,1,0}     28    1
33   1103   122   124  0.479240  {0,1,0}     38    0
93   1125    86    87  0.538072  {0,2,0}     31    0
99   1133    48    49  0.383378  {0,3,0}     30    0
107  1135    42    43  0.854169  {0,2,0}     29    1
44   1144   119   120  0.669713  {0,1,0}     32    0
49   1154   128   139  0.517275  {1,0,0}     35    1
125  1163     8    33  0.907458  {1,0,0}     22    1
119  1167    12    16  0.529460  {1,1,0}     34    1
2    1197    63    64  0.176958  {0,1,0}     35    0
122  1207   152   153  0.006355  {0,2,0}     40    0
85   1226   216   218  0.682036  {1,1,0}     39    1
108  1229   178   185  0.709736  {0,1,0}     23    0
62   1242   204   205  0.492056  {0,2,0}     35    0
74   1295   148   149  0.154382  {0,0,1}     40    0
97   1301   210   215  0.459861  {0,3,0}     39    0
75   1301   164   169  0.237270  {0,2,0}     22    1
73   1313   231   232  0.459951  {0,1,0}     36    1
50   1316   231   232  0.070733  {0,2,0}     35    0
55   1318    30    33  0.369810  {1,1,0}     34    1
23   1322    43    45  0.345707  {0,1,1}     38    0
29   1327    74    76  0.773968  {0,1,0}     31    1
110  1356   177   181  0.654954  {0,3,0}     30    0
27   1385    54    55  0.666142  {0,2,0}     38    1
79   1391    59    60  0.415647  {1,1,0}     28    1
5    1407   102   111  0.178202  {1,1,0}     39    1
18   1408   166   175  0.449157  {0,2,0}     31    1
20   1413   126   127  0.388725  {0,1,0}     38    1
11   1415    83    84  0.736234  {0,2,0}     29    1
