map EGL-G2-E
fac 5 10 {0,7,153,225,168}
hosp 2 {0,148}
n_ALS 8 1 {1:0,2:7,2:153,2:225,1:168}
n_BLS 15 1 {1:0,4:7,3:153,2:225,5:168}
n_CLS 6 0 {1:7,3:153,2:168}
      c_m  head  tail      c_af      c_d  c_tau  c_h
98     20    91    96  0.515137  {0,1,0}     37    1
0      25    53    54  0.706787  {1,2,0}     40    1
105    41    16    18  0.179116  {0,2,0}     22    1
32     42   184   188  0.926068  {0,3,0}     22    0
83     54    12    13  0.424179  {0,2,0}     27    1
1      58   151   153  0.949053  {0,1,0}     22    1
113    83   141   142  0.355805  {0,1,0}     20    1
37    105    76    77  0.129344  {0,0,1}     20    1
94    142   125   150  0.434380  {0,3,0}     23    1
62    147    59    60  0.861003  {1,1,0}     30    1
106   168   146   147  0.516929  {0,1,0}     40    0
65    230    35    36  0.141205  {0,2,0}     30    0
69    271    84    85  0.240439  {1,0,0}     23    1
80    336   215   221  0.084309  {0,3,0}     26    0
36    376    39    73  0.206686  {1,0,0}     31    1
55    379   201   202  0.646449  {0,0,1}     40    1
112   431   226   227  0.411209  {1,0,0}     33    1
103   431    30    33  0.778781  {0,1,0}     36    0
67    463   199   200  0.442379  {1,1,0}     40    1
56    473   247   249  0.773179  {1,1,0}     34    1
104   476   239   240  0.089708  {0,3,0}     37    0
11    493     8     9  0.305463  {0,1,1}     31    1
34    503    81    82  0.874571  {0,2,0}     28    1
60    528   108   109  0.151176  {0,1,0}     26    1
111   532   250   251  0.563730  {0,1,0}     34    1
48    534    83    84  0.361009  {0,0,1}     35    1
84    538   106   108  0.441601  {0,3,0}     34    1
75    543   204   206  0.589011  {0,2,0}     25    1
79    554   185   187  0.649177  {0,2,0}     29    0
40    578     4     5  0.111735  {0,3,0}     29    1
93    581    59    72  0.357026  {0,1,0}     25    1
22    588   122   124  0.295069  {0,3,0}     21    0
19    605    87    88  0.101303  {0,2,0}     33    1
8     614     2     3  0.169354  {1,1,0}     23    1
87    615   197   200  0.962064  {0,1,0}     20    0
9     618    45    46  0.967896  {1,0,0}     21    1
23    619    40    41  0.992522  {0,2,0}     29    1
2     620   239   240  0.375746  {0,2,0}     39    0
110   628   122   123  0.714045  {0,2,0}     32    0
61    642   123   124  0.363966  {0,1,1}     37    1
88    650   206   207  0.818786  {1,0,0}     34    1
82    664    71    73  0.204272  {1,0,0}     33    1
7     671   188   189  0.516073  {0,3,0}     25    1
52    697   185   186  0.223608  {1,0,0}     34    1
66    706   141   142  0.550664  {0,1,0}     32    1
107   709   245   246  0.052666  {1,0,0}     22    1
100   709    32    34  0.252338  {0,1,0}     38    1
116   735   196   197  0.088386  {0,2,0}     38    1
31    738   132   133  0.359760  {0,1,1}     28    1
120   748   217   219  0.986488  {0,3,0}     23    1
42    761     4    22  0.386272  {1,0,0}     32    1
27    766   213   215  0.160299  {0,3,0}     38    0
53    775     5    26  0.122226  {0,3,0}     23    1
114   775   113   114  0.209738  {0,1,1}     40    1
102   783    41    51  0.682691  {1,0,0}     36    1
99    784     3    15  0.042651  {0,1,0}     25    1
121   787    65    66  0.810178  {0,2,0}     23    0
117   789   219   223  0.792626  {1,1,0}     25    1
77    789   153   154  0.430418  {0,1,1}     34    1
51    789   113   114  0.835158  {1,0,0}     24    1
47    793   239   240  0.774079  {0,2,0}     22    0
45    805    10    41  0.539293  {0,1,0}     29    0
44    828    55    56  0.989871  {0,0,1}     32    1
123   832   115   116  0.691476  {0,0,1}     29    0
21    837    89    90  0.417988  {0,1,1}     33    0
58    840   218   250  0.856246  {0,1,0}     24    0
118   857   179   183  0.493653  {0,1,0}     35    1
5     866   223   224  0.143185  {0,3,0}     29    1
74    869   210   211  0.825838  {0,0,1}     29    1
92    886   105   107  0.647006  {0,1,0}     21    1
70    901   167   168  0.109630  {0,2,0}     28    1
54    915   201   202  0.489665  {1,1,0}     32    1
122   922    53    54  0.172629  {1,0,0}     26    1
16    939    96    98  0.079401  {0,1,0}     25    0
63    942   217   218  0.918281  {0,2,0}     40    1
108   945    39    40  0.240867  {1,1,0}     32    1
41    956     5    23  0.045311  {0,1,1}     37    1
33    961    78    79  0.262811  {0,2,0}     22    0
29    970     1     2  0.182942  {0,3,0}     21    0
91    976   174   182  0.838470  {0,2,0}     22    1
12    988   226   251  0.721775  {0,2,0}     33    1
14    989   202   203  0.495604  {0,3,0}     20    1
4     990   176   177  0.194915  {1,1,0}     23    1
64    992   142   143  0.128028  {0,2,0}     37    1
127  1001   212   213  0.772267  {0,2,0}     21    0
46   1003   154   157  0.346923  {0,3,0}     33    0
38   1011   251   254  0.216124  {0,1,0}     29    1
81   1020    66    93  0.268760  {0,2,0}     20    1
97   1020    74    76  0.643182  {0,2,0}     27    0
109  1027    97    98  0.333539  {0,0,1}     36    1
72   1042   164   165  0.225368  {0,2,0}     22    1
3    1061   239   240  0.292378  {1,1,0}     28    1
85   1062   219   223  0.009017  {1,1,0}     40    1
24   1065    94    95  0.350262  {1,0,0}     37    1
78   1068    39    52  0.936991  {0,1,0}     20    0
20   1082   218   225  0.848353  {0,1,0}     30    0
90   1096    10    41  0.023660  {0,2,0}     37    0
125  1096   227   229  0.276909  {1,1,0}     24    1
95   1096     4     5  0.526205  {1,3,0}     28    1
73   1103   152   155  0.246923  {0,2,0}     38    1
30   1111   225   228  0.359661  {0,1,0}     32    1
17   1131    23   171  0.075770  {1,0,0}     26    1
119  1134   188   189  0.889576  {1,1,0}     21    1
86   1134   247   249  0.394562  {0,1,1}     29    1
59   1150    83    84  0.505613  {1,3,0}     30    1
68   1152   239   240  0.417686  {0,1,1}     23    1
96   1153   202   203  0.827163  {0,1,1}     24    1
15   1173   234   235  0.692444  {0,1,0}     28    0
76   1180   152   155  0.214197  {1,1,0}     38    1
10   1185     3    15  0.905799  {1,0,0}     22    1
89   1189    23    87  0.679412  {0,1,0}     35    0
101  1189   174   182  0.400233  {0,3,0}     38    0
6    1191   117   118  0.758065  {0,2,0}     34    1
49   1232   176   177  0.220601  {0,2,0}     24    0
57   1233    74    76  0.978739  {1,0,0}     32    1
25   1264   247   248  0.495133  {0,3,0}     21    1
126  1266   159   161  0.548974  {0,1,0}     40    1
18   1271    48    57  0.129875  {0,1,0}     36    0
39   1288   217   218  0.777262  {1,0,0}     21    1
35   1298    54    58  0.482591  {0,2,0}     31    1
43   1315    56    57  0.373101  {0,2,0}     20    1
124  1319   158   159  0.941556  {0,2,0}     34    1
26   1327   180   181  0.265415  {0,2,0}     32    0
28   1365   217   218  0.341179  {0,3,0}     20    1
71   1380    43    44  0.085733  {0,1,1}     20    1
115  1407   156   162  0.063984  {0,1,0}     22    1
50   1427    32    34  0.330546  {0,1,0}     39    1
13   1430    78    79  0.235645  {1,1,0}     33    1
