map EGL-G2-E
fac 5 10 {0,49,99,30,228}
hosp 3 {0,72,162}
n_ALS 5 1 {1:99,2:30,2:228}
n_BLS 17 1 {3:0,3:49,2:99,4:30,5:228}
n_CLS 10 0 {4:0,1:49,2:99,1:30,2:228}
      c_m  head  tail      c_af      c_d  c_tau  c_h
6       0    98   127  0.254663  {0,2,0}     36    0
68      8   174   183  0.360300  {0,0,1}     26    0
114    33   197   199  0.529236  {0,1,0}     29    1
46     53   123   124  0.027788  {0,3,0}     21    0
2      84    91    96  0.477107  {0,3,0}     26    1
113   106   145   146  0.331012  {0,1,0}     38    0
85    113   246   247  0.602676  {1,1,0}     32    1
117   267    31    38  0.715003  {0,1,0}     31    1
105   276   198   199  0.214661  {0,3,0}     37    1
45    339   193   246  0.392864  {0,3,0}     24    1
127   346   204   205  0.235806  {0,2,0}     33    0
83    354    43    44  0.526554  {0,2,0}     21    0
81    355    39    40  0.923896  {1,3,0}     26    1
77    396   220   221  0.461533  {1,1,0}     33    1
43    405    23   171  0.367212  {1,1,0}     38    1
40    410   125   126  0.580617  {1,0,0}     20    1
106   433   140   142  0.907128  {0,3,0}     21    0
39    439   162   163  0.003412  {1,2,0}     30    1
118   449   122   124  0.028159  {0,2,0}     29    1
75    454   163   168  0.798562  {1,0,0}     38    1
19    460   121   155  0.324522  {1,1,0}     36    1
74    475    85   101  0.581007  {0,1,0}     34    1
33    484    69    70  0.458692  {1,1,0}     27    1
108   502    99   100  0.808482  {0,2,0}     25    1
31    529    99   132  0.252169  {0,3,0}     25    1
86    546   106   108  0.241732  {1,1,0}     32    1
9     550   113   115  0.813172  {0,2,0}     24    1
26    553   248   249  0.193729  {0,1,0}     37    1
94    565    36    37  0.643545  {0,3,0}     30    1
97    566   249   252  0.065702  {0,1,1}     26    1
69    575   153   154  0.427772  {0,1,0}     26    1
37    579   168   176  0.522560  {0,1,0}     23    0
63    579     0    21  0.499647  {0,3,0}     28    0
52    582   130   131  0.536510  {0,2,0}     37    1
36    590   226   227  0.206636  {0,1,0}     30    1
95    592   156   162  0.515478  {0,1,0}     27    0
54    607    29    30  0.730038  {1,0,0}     38    1
70    618    89    97  0.487230  {0,1,0}     25    1
21    620   244   245  0.611080  {1,0,0}     35    1
125   623   185   187  0.297183  {0,1,0}     32    1
98    626   197   200  0.231537  {0,1,0}     33    1
44    630   240   241  0.219040  {0,3,0}     38    0
12    639   177   180  0.867450  {1,2,0}     29    1
16    640    74    75  0.118722  {0,1,0}     23    0
20    643   197   199  0.679920  {1,0,0}     37    1
34    664   166   178  0.030467  {1,1,0}     27    1
58    670   117   121  0.224429  {1,1,0}     27    1
116   677     9    34  0.187532  {1,0,0}     39    1
111   683   249   252  0.921525  {0,0,1}     24    1
61    684   151   153  0.585828  {0,3,0}     38    1
41    698    29    30  0.141324  {0,1,0}     26    1
28    706    84    86  0.019051  {1,0,0}     29    1
59    710    97   112  0.332518  {0,3,0}     20    0
71    712   122   124  0.711495  {1,0,0}     25    1
10    734    92    93  0.755652  {0,3,0}     30    0
67    734    40    41  0.780994  {0,2,0}     24    0
93    741    84    85  0.477774  {0,1,1}     29    0
65    760    99   100  0.844255  {0,3,0}     34    0
91    763   235   236  0.463079  {0,2,0}     24    1
25    764   178   185  0.201393  {1,1,0}     27    1
121   766    90    92  0.651573  {0,3,0}     25    1
27    766    63    65  0.179178  {0,2,0}     32    0
124   775   152   155  0.402449  {1,0,0}     31    1
53    779     2     3  0.577466  {0,3,0}     34    1
115   785   118   119  0.383770  {1,0,0}     32    1
62    804   104   114  0.993912  {1,1,0}     26    1
11    818    20    21  0.216083  {0,1,0}     21    0
76    831     1    12  0.402714  {0,2,0}     31    1
48    838   190   192  0.121677  {0,2,0}     26    0
51    842   165   166  0.683717  {1,1,0}     39    1
38    849    36    37  0.039379  {1,0,0}     38    1
60    862    29    31  0.298413  {0,1,0}     31    0
109   879   107   108  0.601619  {0,1,0}     24    1
64    886   185   187  0.666433  {0,2,0}     25    1
7     890   219   223  0.733606  {0,2,0}     34    1
1     896    82    83  0.344688  {0,0,1}     24    1
110   898   123   124  0.160486  {0,1,0}     34    1
49    900   198   199  0.696549  {0,0,1}     34    0
