map EGL-G1-A
fac 5 10 {0,238,36,196,73}
hosp 1 {0}
n_ALS 8 1 {1:0,5:238,2:73}
n_BLS 24 1 {4:0,5:238,3:36,4:196,8:73}
n_CLS 6 0 {1:0,3:36,2:196}
      c_m  head  tail      c_af      c_d  c_tau  c_h
31     39     3    23  0.584611  {0,3,0}     26    0
86     50    19    20  0.049683  {0,1,0}     33    1
4     163   112   113  0.218769  {0,2,0}     21    1
114   169    94    95  0.194566  {1,0,0}     20    1
69    179   110   113  0.796260  {0,2,0}     20    0
52    188   142   144  0.564213  {1,1,0}     31    1
76    235   150   152  0.653252  {0,1,0}     38    1
119   292    16    17  0.141781  {0,3,0}     26    1
35    311   240   241  0.996656  {0,3,0}     38    0
17    343    47    64  0.763331  {1,0,0}     29    1
81    366    10    41  0.419348  {0,2,0}     32    1
20    368    19    20  0.968719  {1,0,0}     25    1
83    375    29    31  0.641365  {1,0,0}     40    1
43    382    54    55  0.093157  {0,2,0}     30    1
49    399    68    79  0.908327  {0,1,0}     22    0
117   417   210   212  0.047553  {0,1,0}     40    1
7     418    67    68  0.992333  {0,1,0}     30    0
109   428    70    72  0.499591  {0,1,0}     26    1
56    445   156   162  0.340162  {0,1,1}     20    1
64    449    35    36  0.693072  {0,1,0}     28    1
95    453   225   248  0.715035  {0,0,1}     22    1
45    474   135   145  0.881711  {0,3,0}     25    0
68    494   121   123  0.720410  {1,1,0}     22    1
113   504   165   177  0.615601  {0,2,0}     40    0
9     516   189   190  0.013057  {1,0,0}     20    1
85    548   232   233  0.692696  {0,3,0}     31    0
37    549    54    55  0.114329  {0,3,0}     31    0
90    551   207   209  0.028560  {1,0,0}     20    1
28    580   119   161  0.258995  {0,3,0}     25    0
24    581   186   187  0.350815  {1,1,0}     39    1
3     601   215   216  0.995654  {0,2,0}     24    0
34    610   232   234  0.864594  {0,2,0}     29    1
103   611    25    26  0.420431  {0,1,1}     33    0
97    631   202   204  0.080259  {0,2,0}     38    1
116   635   136   137  0.675759  {0,1,1}     33    1
12    651    56    57  0.006113  {0,1,0}     39    1
62    658   225   226  0.650933  {0,1,0}     28    1
33    680   246   248  0.127456  {0,2,0}     25    0
96    690    69    78  0.260000  {1,1,0}     21    1
58    711   244   245  0.389309  {0,1,1}     38    1
89    720    34    41  0.471215  {0,1,1}     23    1
99    727   128   137  0.557769  {0,3,0}     21    0
44    728   137   138  0.855245  {0,3,0}     28    1
70    733    40    41  0.319081  {1,0,0}     25    0
61    740   105   117  0.512639  {0,2,0}     21    1
47    743   147   148  0.024645  {0,3,0}     38    1
100   747     6     7  0.477991  {1,1,0}     34    1
125   751   110   113  0.172114  {0,1,0}     29    0
98    752   174   175  0.016314  {0,2,0}     21    0
74    754    53    54  0.628785  {0,0,1}     34    1
1     759    78    79  0.341307  {0,2,0}     34    0
93    760   162   166  0.058088  {0,3,0}     20    1
73    763   206   207  0.354139  {0,1,0}     29    1
18    770   195   197  0.487714  {0,3,0}     20    1
8     785   156   160  0.463300  {0,1,0}     29    1
88    786    38    40  0.385585  {1,1,0}     27    1
104   812   220   222  0.346424  {1,0,0}     38    0
10    821    86    87  0.369932  {0,2,0}     29    0
5     823   191   194  0.466758  {0,1,1}     28    1
25    823   160   163  0.213830  {0,2,0}     33    1
50    827   177   184  0.838946  {1,1,0}     23    1
124   836   210   211  0.811106  {1,1,0}     23    1
102   855   141   142  0.628254  {0,3,0}     32    1
122   858   237   238  0.300513  {0,1,0}     31    1
57    865   103   104  0.993714  {0,2,0}     34    1
16    876   212   243  0.925790  {0,1,0}     23    1
105   887   195   196  0.203936  {0,3,0}     36    1
87    889   211   212  0.687636  {1,1,0}     32    1
26    892    27    28  0.197051  {0,2,0}     25    0
11    906    17    19  0.964215  {0,1,0}     29    0
59    911    94    98  0.220591  {0,0,1}     32    1
127   913   150   151  0.489025  {1,1,0}     31    1
79    927   234   236  0.740827  {0,2,0}     29    1
110   935    30    33  0.030956  {0,1,1}     40    1
121   935    70    71  0.875223  {1,1,0}     36    1
22    943     9    34  0.352773  {1,0,0}     30    1
91    954    36    37  0.946871  {0,0,1}     40    0
14    957    24    25  0.357537  {0,1,0}     36    0
13    958    10    41  0.148796  {1,0,0}     24    1
53    963   102   103  0.283898  {0,3,0}     20    0
101   983     9    34  0.387129  {1,1,0}     27    1
71    983   157   158  0.658424  {0,3,0}     40    1
41    988   104   105  0.326009  {1,0,0}     32    0
60    995   100   101  0.865920  {1,0,0}     37    1
36   1002   180   181  0.747538  {1,1,0}     23    1
84   1003   185   192  0.039869  {0,1,0}     33    0
115  1005   212   243  0.644859  {0,1,0}     24    1
65   1013    95    97  0.467323  {0,3,0}     32    1
80   1022   157   158  0.826810  {0,3,0}     23    1
67   1029    39    72  0.952969  {1,1,0}     39    1
66   1029    28    29  0.291660  {0,1,0}     28    1
40   1032    69    78  0.543981  {0,3,0}     38    0
54   1041    24    26  0.198301  {0,2,0}     34    1
75   1048     2     3  0.559677  {0,1,0}     30    1
77   1064    65    66  0.713314  {1,1,0}     31    1
108  1071   129   130  0.932515  {0,1,1}     37    0
19   1078     4    22  0.013123  {1,0,0}     23    1
6    1091    23    86  0.492782  {0,1,0}     24    1
126  1104   139   141  0.487147  {0,1,0}     21    1
0    1116    73    74  0.555402  {0,2,0}     29    1
23   1126    38    40  0.397889  {1,0,0}     32    1
82   1158   207   209  0.828841  {0,2,0}     25    0
123  1160   105   107  0.387005  {1,0,0}     35    1
63   1170    15    17  0.813260  {1,2,0}     27    1
42   1176   229   230  0.119339  {1,0,0}     31    1
111  1178   225   248  0.228542  {0,2,0}     33    0
27   1189    51    52  0.270398  {1,1,0}     22    1
51   1193    80    88  0.483507  {0,3,0}     32    1
30   1199   144   145  0.444696  {0,2,0}     29    1
48   1200   216   217  0.589186  {0,1,0}     24    1
120  1215   199   202  0.830837  {0,3,0}     35    0
55   1229   121   122  0.156108  {0,1,0}     32    0
2    1234    42    43  0.433356  {1,0,0}     22    1
38   1234    50    51  0.036430  {1,0,0}     40    1
112  1243   160   163  0.960742  {0,2,0}     26    0
94   1253   128   137  0.840624  {0,2,0}     29    1
15   1272   169   173  0.697592  {1,1,0}     34    1
32   1279   158   159  0.803457  {0,2,0}     25    0
118  1282   116   118  0.405307  {0,1,0}     23    0
78   1288   151   152  0.105715  {0,2,0}     24    1
107  1291    56    57  0.001047  {1,1,0}     34    1
39   1298   138   139  0.834442  {0,1,0}     31    0
29   1302   127   138  0.302039  {1,0,0}     36    1
21   1314    50    53  0.119004  {0,3,0}     21    1
106  1337   104   105  0.400074  {0,1,1}     20    0
46   1339   199   202  0.276471  {0,2,0}     35    1
72   1354   190   192  0.776520  {0,0,1}     36    0
92   1409   137   138  0.249344  {1,1,0}     36    1
